relid,holdingid,companyid
1,1,330
2,1,688
3,1,2033
4,2,330
5,2,688
6,2,2033
7,2,4758
8,3,330
9,3,688
10,3,2033
11,3,6478
12,4,2388
13,4,3886
14,4,4741
15,5,5104
16,5,5088
17,5,2040
18,6,47
19,6,1871
20,7,945
21,7,3244
22,7,7109
23,7,7173
24,7,7174
25,8,13
26,8,1897
27,8,300
28,8,7272
29,8,327
30,9,4721
31,9,7953
32,9,8157
33,9,9678
34,9,8159
35,10,1056
36,10,2189
37,10,2249
38,10,2789
39,10,4036
40,10,4194
41,10,4794
42,10,7518
43,10,7766
44,10,8516
45,10,8517
46,10,8518
47,10,8519
48,10,8520
49,10,8521
50,10,8522
51,11,1141
52,11,3417
53,11,780
54,11,1726
55,11,8590
56,11,8591
57,11,8592
58,11,8593
59,11,8594
60,11,615
61,11,263
62,11,8595
63,11,8596
64,11,8597
65,11,2990
66,11,5909
67,11,8598
68,11,8599
69,11,8600
70,12,615
71,12,263
72,13,8587
73,13,8588
74,13,4957
75,14,975
76,14,6284
77,14,8543
78,14,8541
79,15,6536
80,15,9387
81,16,9483
82,16,9966
83,16,10433
84,16,9984
85,16,9964
89,18,217
90,18,2194
91,18,2788
92,18,2904
93,18,3340
94,18,3810
95,18,5379
96,18,5679
97,18,6070
98,18,6807
99,18,9166
100,18,10053
101,18,10291
102,18,10292
103,18,10293
104,19,10279
105,19,10509
106,20,6536
107,20,9387
108,21,8333
109,21,10348
110,21,10349
111,21,10351
112,21,10629
113,21,10632
114,21,10633
115,22,871
116,22,2166
117,22,2487
118,23,674
119,23,1222
120,23,1822
121,23,3129
122,23,5842
123,23,10679
124,24,1211
125,24,3932
126,22,871
127,22,2166
128,22,2487
129,25,8025
130,25,10932
131,25,3280
132,25,10933
133,25,10934
134,19,3767
135,19,10906
136,19,10909
137,19,518
138,27,2940
139,27,4957
140,27,5486
168,28,780
169,28,8590
170,28,8594
171,28,615
172,28,1726
173,28,8596
174,28,8592
175,28,8595
176,28,8591
177,28,8597
178,28,3417
179,28,263
180,28,8593
181,28,2990
182,28,5909
183,28,1141
184,28,8600
185,28,8598
186,28,8599
217,30,9792
218,30,9795
219,30,11393
220,31,11619
221,31,11620
222,31,11621
223,31,11622
224,31,11623
225,31,8077
226,31,11625
227,31,11626
228,32,78
229,32,122
230,32,938
231,32,1253
232,32,1391
233,32,7955
234,32,11358
235,32,11834
236,33,11961
237,33,5503
238,34,10550
239,34,6867
240,34,8008
241,34,848
242,34,12004
243,34,7507
244,34,8473
245,34,10358
246,34,7217
247,34,8195
248,34,7070
249,34,822
250,34,20
251,34,430
252,34,1268
253,34,12005
254,34,1301
255,34,1928
256,34,12006
257,34,12007
258,34,12008
259,34,7404
260,34,10538
261,34,12009
262,34,11153
263,35,11376
264,35,7203
265,36,1107
266,36,3409
267,36,12230
268,37,557
269,37,591
270,37,1051
271,37,2876
272,37,3822
273,37,5033
274,38,3819
275,38,6188
276,39,196
277,39,659
278,39,1561
279,39,2381
280,39,4317
281,39,8269
282,39,10640
283,39,11669
286,39,12343
287,40,210
288,40,10299
289,40,12065
290,40,12508
291,41,2032
292,41,3793
293,41,12611
294,41,12613
296,42,621
297,43,12702
298,43,12703
299,44,4480
300,44,12844
301,45,3005
302,45,12860
304,46,453
305,46,5051
306,46,804
307,46,3607
308,46,13034
309,47,330
310,47,688
311,47,6478
312,47,13237
313,48,3348
314,48,3599
315,48,9806
316,48,9809
317,49,3051
318,49,3163
319,49,8510
320,50,3348
321,50,3599
322,50,9806
323,50,9809
324,9,8158
325,51,1138
326,51,2925
327,51,13510
328,51,13512
329,52,513
330,52,1309
331,53,4872
332,53,10021
333,53,3121
335,54,6502
337,54,6245
339,55,50
340,55,206
341,55,8152
342,55,9352
343,55,14009
344,56,496
345,56,773
346,56,810
347,56,3348
348,56,3599
349,56,9806
350,56,9809
358,57,579
359,57,3534
360,57,13588
361,57,14012
362,57,14013
363,57,14014
364,57,14015
365,58,3280
366,58,8025
367,58,10932
368,58,10933
369,58,10934
370,59,320
371,59,347
372,59,387
373,59,410
374,59,535
375,59,624
376,59,634
377,59,736
378,59,889
379,59,1028
380,59,1697
381,59,2587
382,59,2648
383,59,2933
384,59,3372
385,59,6063
386,59,6136
387,59,7276
388,59,7408
389,59,9775
390,59,9792
391,59,9795
392,59,11393
393,59,12173
394,59,14042
395,59,14043
396,59,14044
397,59,14045
398,59,14046
399,59,14047
400,59,14048
401,59,14049
402,59,14050
403,59,14051
404,59,14052
405,60,3368
406,60,9857
407,61,4912
408,61,10424
409,1,621
410,62,3661
411,62,5015
412,62,5934
413,62,14120
414,63,871
415,63,1159
416,63,1402
417,63,1947
418,63,2166
419,63,2487
420,63,3018
421,63,3946
422,63,4037
423,63,4470
424,63,4876
425,63,6369
426,63,7735
427,63,9278
428,63,9624
429,63,10367
430,63,10410
431,63,10952
432,63,12801
433,63,12802
434,63,14121
435,63,14122
436,63,14123
437,63,14124
438,63,14125
439,64,513
440,64,1309
441,65,518
442,65,3767
443,65,10279
444,65,10509
445,65,10906
446,65,10909
447,65,15309
448,65,15310
449,66,4024
450,66,12282
451,66,15403
452,66,15473
453,67,1221
454,67,10420
455,67,12084
456,67,15851
457,67,15852
458,67,15853
459,68,5339
460,68,5540
461,68,6954
462,68,8408
463,68,8832
464,68,11646
465,68,11661
466,69,7203
467,69,11376
468,70,2550
469,70,16562
470,71,7886
471,71,16269
472,72,14262
473,72,14375
474,22,4037
475,22,4876
476,22,7735
477,22,9278
478,22,9624
479,22,10952
480,22,6369
481,22,16669
482,22,12801
483,22,14124
484,22,14125
486,73,5997
488,73,6041
489,73,6115
490,73,6504
491,73,14809
492,73,14898
493,73,17605
494,73,17606
495,73,17607
496,73,17608
497,73,17604
498,73,6040
499,75,3353
500,75,3455
501,75,6573
502,75,7178
503,75,12957
504,75,13425
505,75,13550
506,75,13776
507,75,18241
508,75,18242
510,76,2897
511,76,2898
512,76,14265
513,76,14298
514,76,14370
515,76,14401
516,76,14469
517,76,14556
518,76,14562
519,76,14752
520,76,14832
521,76,15168
522,76,18259
523,77,5997
524,77,6040
525,77,6041
526,77,6115
527,77,6504
528,77,14809
529,77,14898
530,77,17604
531,77,17605
532,77,17606
533,77,17607
534,77,17608
535,78,5997
536,78,14898
537,79,10719
538,79,18620
539,79,18621
540,79,18622
541,80,3353
542,80,3455
543,80,6573
544,80,7178
545,80,12957
